Address,Lat,Long,Nearest_MRT,Distance_MRT,Nearest_Mall,Distance_Mall,Nearest_Pri_Sch,Within_1km_of_Pri
664A PUNGGOL DR,1.399432183,103.9175107,Punggol MRT,2483,Rivervale Mall,2389,Waterway Primary School,TRUE
310C PUNGGOL WALK,1.409710961,103.8998984,Punggol MRT,2514,Waterway Point,901,Valour Primary School,TRUE
668B EDGEFIELD PLAINS,1.404782919,103.9129785,Punggol MRT,1702,Waterway Point,1896,Oasis Primary School,TRUE
670B EDGEFIELD PLAINS,1.40532418,103.9132807,Punggol MRT,1750,Waterway Point,1944,Oasis Primary School,TRUE
663C PUNGGOL DR,1.400365494,103.9176319,Punggol MRT,2615,Rivervale Mall,2616,Waterway Primary School,TRUE
664B PUNGGOL DR,1.40006477,103.9178515,Punggol MRT,2403,Rivervale Mall,2568,Waterway Primary School,TRUE
679B PUNGGOL DR,1.40631693,103.908463,Punggol MRT,1243,Waterway Point,1166,Oasis Primary School,TRUE
679C PUNGGOL DR,1.406413808,103.9088057,Punggol MRT,1254,Waterway Point,1177,Oasis Primary School,TRUE
679A PUNGGOL DR,1.405911563,103.9082882,Punggol MRT,1152,Waterway Point,1075,Oasis Primary School,TRUE
310B PUNGGOL WALK,1.409322675,103.9008018,Punggol MRT,2308,Waterway Point,699,Valour Primary School,TRUE
669B EDGEFIELD PLAINS,1.404536069,103.9140128,Punggol MRT,1767,Waterway Point,1962,Oasis Primary School,TRUE
669A EDGEFIELD PLAINS,1.404909749,103.9139695,Punggol MRT,1802,Waterway Point,1996,Oasis Primary School,TRUE
663B PUNGGOL DR,1.400771226,103.9173487,Punggol MRT,2353,Rivervale Mall,2518,Waterway Primary School,TRUE
93 DAWSON RD,1.29499227,103.8117965,Queenstown MRT,893,Anchorpoint,1194,Alexandra Primary School,FALSE
467A FERNVALE LINK,1.39798359,103.878459,Sengkang MRT,2348,The Seletar Mall,1009,Fern Green Primary School,TRUE
471A FERNVALE ST,1.396040947,103.8807354,Sengkang MRT,1961,The Seletar Mall,997,Fern Green Primary School,TRUE
472B FERNVALE ST,1.39677177,103.8811043,Sengkang MRT,2027,The Seletar Mall,1134,Fern Green Primary School,TRUE
471B FERNVALE ST,1.396498756,103.8804473,Sengkang MRT,2003,The Seletar Mall,1011,Fern Green Primary School,TRUE
293D COMPASSVALE CRES,1.396742166,103.8953316,Sengkang MRT,753,Compass One,803,Compassvale Primary School,TRUE
468C FERNVALE LINK,1.396896211,103.8777853,Sengkang MRT,2410,The Seletar Mall,821,Fern Green Primary School,TRUE
422 TAMPINES ST 41,1.357314316,103.9470051,Tampines MRT,939,Tampines Mall,745,Gongshang Primary School,TRUE
871C TAMPINES ST 86,1.356709003,103.9313853,Tampines West MRT,1936,Century Square,1690,Poi Ching School,TRUE
808C CHAI CHEE RD,1.32789303,103.9238749,Bedok MRT,1044,Bedok Mall,893,Fengshan Primary School,TRUE
405 BT BATOK WEST AVE 7,1.365764391,103.7453993,Bukit Gombak MRT,1382,West Mall,2082,Dazhong Primary School,TRUE
96A HENDERSON RD,1.287988788,103.8219473,Tiong Bahru MRT,720,Tiong Bahru Plaza,868,Alexandra Primary School,TRUE
35 TELOK BLANGAH RISE,1.273022019,103.8221232,HarbourFront MRT,1636,VivoCity,1544,Radin Mas Primary School,TRUE
442B FAJAR RD,1.381433847,103.7713663,Bukit Panjang MRT,1481,Bukit Panjang Plaza,1212,Zhenghua Primary School,TRUE
117 PENDING RD,1.377301281,103.7679793,Bukit Panjang MRT,964,Bukit Panjang Plaza,634,Zhenghua Primary School,TRUE
442C FAJAR RD,1.381487569,103.7709422,Bukit Panjang MRT,1496,Bukit Panjang Plaza,1255,Zhenghua Primary School,TRUE
18A CIRCUIT RD,1.329320824,103.8880717,MacPherson MRT,483,Paya Lebar Square,1738,Geylang Methodist School (Primary),FALSE
316 HOUGANG AVE 7,1.364975847,103.8968099,Hougang MRT,1131,Hougang Mall,1201,Holy Innocents' Primary School,TRUE
656 HOUGANG AVE 8,1.373235717,103.8817023,Hougang MRT,1585,Hougang 1,566,Xinmin Primary School,TRUE
57 TEBAN GDNS RD,1.322542265,103.7375607,Jurong East MRT,2787,Jem,2766,Qifa Primary School,FALSE
935 JURONG WEST ST 91,1.342672026,103.688333,Pioneer MRT,1425,Jurong Point,2578,Jurong West Primary School,FALSE
120 PASIR RIS ST 11,1.367313808,103.9543628,Pasir Ris MRT,1138,White Sands,1138,White Sands Primary School,TRUE
256C SUMANG WALK,1.405402037,103.8959105,Sengkang MRT,1870,Waterway Point,1217,Valour Primary School,TRUE
256D SUMANG WALK,1.404948702,103.8960077,Sengkang MRT,1818,Waterway Point,1165,Valour Primary School,TRUE
678A PUNGGOL DR,1.405662132,103.908719,Punggol MRT,1233,Waterway Point,1156,Oasis Primary School,TRUE
87 DAWSON RD,1.295730427,103.8097599,Queenstown MRT,820,Anchorpoint,1312,Alexandra Primary School,FALSE
868B TAMPINES AVE 8,1.355924321,103.9329124,Tampines West MRT,1739,Century Square,1516,Poi Ching School,TRUE
383 TAMPINES ST 32,1.354098268,103.9582669,Tampines MRT,685,Tampines 1,836,Chongzheng Primary School,TRUE
246 KIM KEAT LINK,1.330780827,103.8558443,Toa Payoh MRT,1201,The Poiz Centre,2295,Pei Chun Public School,TRUE
240 LOR 1 TOA PAYOH,1.340876446,103.85083,Braddell MRT,571,Junction 8,1869,Kheng Cheng School,TRUE
101B LOR 2 TOA PAYOH,1.339598845,103.8476054,Braddell MRT,302,Junction 8,2383,Kheng Cheng School,TRUE
176 WOODLANDS ST 13,1.433578584,103.7783535,Marsiling MRT,626,Causeway Point,1047,Marsiling Primary School,TRUE
361 YISHUN RING RD,1.428324759,103.8459083,Yishun MRT,1736,Junction 9,913,Huamin Primary School,TRUE
258 YISHUN ST 22,1.435155732,103.8398043,Yishun MRT,1192,Junction 9,440,Chongfu School,TRUE
158 BEDOK STH AVE 3,1.318670387,103.9451056,Bayshore MRT,1120,East Village,2440,Temasek Primary School,TRUE
105 LENGKONG TIGA,1.325648315,103.9101122,Kembangan MRT,740,Singpost Centre,2538,Maha Bodhi School,FALSE
222 BT BATOK EAST AVE 3,1.347848541,103.7540349,Bukit Batok MRT,736,West Mall,791,Bukit View Primary School,TRUE
6 JLN BT HO SWEE,1.287638699,103.8314433,Havelock MRT,452,Tiong Bahru Plaza,773,Zhangde Primary School,TRUE
440B CLEMENTI AVE 3,1.316239365,103.7635664,Clementi MRT,352,The Clementi Mall,417,Nan Hua Primary School,TRUE
376C HOUGANG ST 32,1.364063225,103.8936798,Hougang MRT,1133,Hougang Mall,1472,Holy Innocents' Primary School,TRUE
646 HOUGANG AVE 8,1.371839884,103.8807395,Hougang MRT,1675,Hougang 1,771,Xinmin Primary School,TRUE
961 JURONG WEST ST 92,1.341286949,103.6920694,Pioneer MRT,883,Jurong Point,2057,Jurong West Primary School,TRUE
8A UPP BOON KENG RD,1.312917571,103.8697431,Kallang MRT,422,Aperia Mall,1484,St. Joseph's Institution Junior,TRUE
530B PASIR RIS DR 1,1.371689538,103.9495021,Pasir Ris MRT,829,Downtown East,1737,Elias Park Primary School,TRUE
530A PASIR RIS DR 1,1.371140539,103.9498505,Pasir Ris MRT,461,Downtown East,1369,Elias Park Primary School,TRUE
668A EDGEFIELD PLAINS,1.405018801,103.9124119,Punggol MRT,1842,Waterway Point,1797,Oasis Primary School,TRUE
635C PUNGGOL DR,1.400654324,103.9141867,Punggol MRT,2108,Rivervale Mall,2002,Horizon Primary School,TRUE
88 DAWSON RD,1.29579395,103.8092648,Queenstown MRT,777,Anchorpoint,1355,Alexandra Primary School,FALSE
470B FERNVALE LINK,1.396871179,103.8798595,Sengkang MRT,2132,The Seletar Mall,983,Fern Green Primary School,TRUE
473A FERNVALE ST,1.397859749,103.8812328,Sengkang MRT,2127,The Seletar Mall,1282,Fern Green Primary School,TRUE
294A COMPASSVALE CRES,1.396069774,103.8959334,Sengkang MRT,717,Compass One,767,Compassvale Primary School,TRUE
468A FERNVALE LINK,1.397479085,103.8785001,Sengkang MRT,2325,The Seletar Mall,948,Fern Green Primary School,TRUE
470C FERNVALE LINK,1.396194039,103.8799924,Sengkang MRT,2010,The Seletar Mall,1018,Fern Green Primary School,TRUE
164A RIVERVALE CRES,1.390070297,103.9072732,Sengkang MRT,1659,Rivervale Mall,514,Rivervale Primary School,TRUE
186 TOA PAYOH CTRL,1.332653953,103.8502116,Toa Payoh MRT,504,Square 2,2000,Kheng Cheng School,TRUE
124 POTONG PASIR AVE 1,1.335347022,103.8654516,Potong Pasir MRT,748,The Poiz Centre,601,Pei Chun Public School,FALSE
411 WOODLANDS ST 41,1.428514216,103.7728199,Marsiling MRT,671,Causeway Point,1878,Marsiling Primary School,TRUE
808B CHAI CHEE RD,1.327472422,103.9238683,Bedok MRT,1095,Bedok Mall,943,Fengshan Primary School,TRUE
95C HENDERSON RD,1.287406406,103.8220532,Tiong Bahru MRT,794,Tiong Bahru Plaza,942,Alexandra Primary School,TRUE
104 SPOTTISWOODE PK RD,1.274427547,103.8348788,Outram Park MRT,1036,100 AM,1203,Radin Mas Primary School,FALSE
815A CHOA CHU KANG AVE 7,1.376078467,103.7469031,Choa Chu Kang MRT,1393,Lot One,1357,Chua Chu Kang Primary School,TRUE
442 CLEMENTI AVE 3,1.314122542,103.7645186,Clementi MRT,163,The Clementi Mall,132,Nan Hua Primary School,TRUE
332 CLEMENTI AVE 2,1.314740295,103.7674876,Clementi MRT,425,The Clementi Mall,488,Nan Hua Primary School,TRUE
18C CIRCUIT RD,1.329296909,103.8887926,MacPherson MRT,361,Paya Lebar Square,1617,Maha Bodhi School,FALSE
